A|B|val1|val2
foo|one|0.655123268174133|0.7777081695870438
bar|two|0.9818750303043193|0.5277862048525488
foo|three|0.08398008612269525|0.7478895583128008
bar|one|0.8121280666092731|0.6601102930996029
foo|two|0.6419745697234417|0.6067488989908977
bar|three|0.37675614741162466|0.20744121255404258
foo|one|0.6303906735605612|0.4984782372161095
bar|two|0.4624231203707563|0.15103700410998822
foo|three|0.16824244175989223|0.7646879096573158
bar|one|0.6904241110686905|0.23517676554579703
foo|two|0.32255544087146115|0.19726832844134
bar|three|0.432298602667624|0.7018112371010813
foo|one|0.34435590522170867|0.880964152121448
bar|two|0.9553200326370542|0.027689964677069634
foo|three|0.3294349580029535|0.8655719168053969
bar|one|0.5074839486261101|0.9416060395768695
foo|two|0.7838013308290346|0.15851199961731188
bar|three|0.5915615791465968|0.3951820937380681
foo|one|0.9762396137711333|0.7166855467572312
bar|two|0.17905798631136993|0.31413236192431593
foo|three|0.4728473074541044|0.14141881419530156
bar|one|0.26987912054867336|0.23816455065525644
foo|two|0.9287909158673131|0.2510772620366014
bar|three|0.06379869189633203|0.31697446410400654
